event,Source,SensorID,SensorName,event_utc,event_datetime_est,event_end_utc,event_end_datetime_est,gap_minutes,reading_type,reading_value,threshold_min,threshold_max,detected_utc,detected_datetime_est
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764130733,2025-11-25 23:18:53 EST,1764132533,2025-11-25 23:48:53 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764237832,2025-11-27 05:03:52 EST,1764239632,2025-11-27 05:33:52 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764254032,2025-11-27 09:33:52 EST,1764261231,2025-11-27 11:33:51 EST,120.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764356631,2025-11-28 14:03:51 EST,1764358431,2025-11-28 14:33:51 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764467331,2025-11-29 20:48:51 EST,1764469131,2025-11-29 21:18:51 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764493430,2025-11-30 04:03:50 EST,1764497030,2025-11-30 05:03:50 EST,60.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764497030,2025-11-30 05:03:50 EST,1764498830,2025-11-30 05:33:50 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764569030,2025-12-01 01:03:50 EST,1764570830,2025-12-01 01:33:50 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764659030,2025-12-02 02:03:50 EST,1764660830,2025-12-02 02:33:50 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:RH,c010405 - RH,1764690529,2025-12-02 10:48:49 EST,1764692329,2025-12-02 11:18:49 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:Temperature,c010405 - Temperature,1764130733,2025-11-25 23:18:53 EST,1764132533,2025-11-25 23:48:53 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:Temperature,c010405 - Temperature,1764237832,2025-11-27 05:03:52 EST,1764239632,2025-11-27 05:33:52 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:Temperature,c010405 - Temperature,1764254032,2025-11-27 09:33:52 EST,1764261231,2025-11-27 11:33:51 EST,120.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:Temperature,c010405 - Temperature,1764356631,2025-11-28 14:03:51 EST,1764358431,2025-11-28 14:33:51 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:Temperature,c010405 - Temperature,1764467331,2025-11-29 20:48:51 EST,1764469131,2025-11-29 21:18:51 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:Temperature,c010405 - Temperature,1764493430,2025-11-30 04:03:50 EST,1764497030,2025-11-30 05:03:50 EST,60.0,,,,,1764692431,2025-12-02 11:20:31 EST
DATA_GAP,Conserv,conserv:unknown:c010405:Temperature,c010405 - Temperature,1764497030,2025-11-30 05:03:50 EST,1764498830,2025-11-30 05:33:50 EST,30.0,,,,,1764692431,2025-12-02 11:20:31 EST
